Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-05-10,Dragon Ball Super: Broly,2018,https://boxd.it/2Piuhx,3,,,2022-05-09
2022-05-10,Your Name.,2016,https://boxd.it/2PpH5j,3,,,2022-05-10
2022-05-11,Oldboy,2003,https://boxd.it/2PAoDj,3.5,,,2022-05-11
2022-05-12,The Handmaiden,2016,https://boxd.it/2PIpFh,3.5,,,2022-05-12
2022-05-13,Stoker,2013,https://boxd.it/2PSjdB,3,,,2022-05-13
2022-05-13,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/2PTlwH,2.5,,,2022-05-13
2022-05-14,The Northman,2022,https://boxd.it/2Q2Da3,5,,,2022-05-14
2022-05-17,Popstar: Never Stop Never Stopping,2016,https://boxd.it/2QsVSz,2,,,2022-05-16
2022-05-18,Horrible Bosses,2011,https://boxd.it/2QFG9v,2,,,2022-05-18
2022-05-21,Everything Everywhere All at Once,2022,https://boxd.it/2Rjvc9,4,,,2022-05-21
2022-05-22,The Thing,1982,https://boxd.it/2RpbrF,3,,,2022-05-22
2022-05-22,Project X,2012,https://boxd.it/2RvvDt,1,,,2022-05-22
2022-05-23,House,1977,https://boxd.it/2RyTv5,4.5,,,2022-05-22
2022-05-23,Licorice Pizza,2021,https://boxd.it/2RKB8B,4,,,2022-05-23
2022-05-23,Juno,2007,https://boxd.it/2RLnNn,3,,,2022-05-23
2022-05-24,Persona,1966,https://boxd.it/2RO6HX,1.5,,,2022-05-23
2022-05-24,Gerald's Game,2017,https://boxd.it/2RWB1z,3,,,2022-05-24
2022-05-25,Vampire Hunter D,1985,https://boxd.it/2S0x0l,4,,,2022-05-25
2022-05-25,Vampire Hunter D: Bloodlust,2000,https://boxd.it/2S5Yr9,4.5,,,2022-05-25
2022-05-25,Another Round,2020,https://boxd.it/2S7r8n,1.5,,,2022-05-25
2022-06-01,Vertigo,1958,https://boxd.it/2TiU0N,4.5,,,2022-05-25
2022-05-27,Basic Instinct,1992,https://boxd.it/2Sken1,4,,,2022-05-26
2022-05-27,Mad Max: Fury Road,2015,https://boxd.it/2SqpJ5,5,,,2022-05-27
2022-06-09,The 40 Year Old Virgin,2005,https://boxd.it/2UIa7J,3,,,2022-06-09
2022-06-10,Lux Æterna,2019,https://boxd.it/2ULN3H,2,,,2022-06-10
2022-06-18,Cha Cha Real Smooth,2022,https://boxd.it/2Wb50Z,4,,,2022-06-17
2022-06-19,Scarface,1983,https://boxd.it/2WvPMP,5,,,2022-06-19
2022-06-20,Pink Flamingos,1972,https://boxd.it/2WCCPl,4,,,2022-06-20
2022-06-20,Cage The Elephant - Unpeeled,,https://boxd.it/2WJDSJ,5,,,2022-06-20
2022-06-21,Mad God,2021,https://boxd.it/2WMtyv,4.5,,,2022-06-20
2022-06-22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2X70oD,3,,,2022-06-22
2022-06-24,[REC],2007,https://boxd.it/2XmU4T,4.5,,,2022-06-24
2022-06-26,The Descent,2005,https://boxd.it/2XR8QH,3.5,,,2022-06-24
2022-06-25,Chungking Express,1994,https://boxd.it/2XEj5h,3.5,,,2022-06-25
2022-06-26,Fallen Angels,1995,https://boxd.it/2XGd7Z,3.5,,,2022-06-25
2022-06-26,In the Mood for Love,2000,https://boxd.it/2XR6Z3,3.5,,,2022-06-26
2022-06-28,Dogville,2003,https://boxd.it/2Y6zBp,3,,,2022-06-27
2022-06-28,Men,2022,https://boxd.it/2Y7I8D,3,,,2022-06-27
2022-06-29,The Grand Budapest Hotel,2014,https://boxd.it/2YiCuP,4,,,2022-06-28
2022-06-29,Audition,1999,https://boxd.it/2YlbSh,3,,,2022-06-29
2022-07-01,Bringing Out the Dead,1999,https://boxd.it/2YG4a5,2.5,,,2022-07-01
