Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Bookshelves,Exclusive Shelf,Year
The Golden Compass,Philip Pullman,5,4.01,Alfred A. Knopf Books for Young Readers,Hardcover,399.0,1995.0,2018-01-23,sff,read,2018.0
The House of Hades,Rick Riordan,5,4.55,Disney-Hyperion Books,Hardcover,597.0,2013.0,2016-06-09,fiction-ya-standalone-and-others,read,2016.0
The Titan's Curse,Rick Riordan,5,4.36,Puffin Books,Paperback,320.0,2007.0,2016-05-26,fiction-ya-standalone-and-others,read,2016.0
The Red Pyramid,Rick Riordan,5,4.1,Disney-Hyperion,Hardcover,528.0,2010.0,2018-11-21,fiction-ya-standalone-and-others,read,2018.0
The Son of Neptune,Rick Riordan,4,4.42,Disney-Hyperion Books,Hardcover,521.0,2011.0,2016-06-03,fiction-ya-standalone-and-others,read,2016.0
The Blood of Olympus,Rick Riordan,4,4.43,Disney-Hyperion Books,Hardcover,516.0,2014.0,2016-06-12,fiction-ya-standalone-and-others,read,2016.0
The Mark of Athena,Rick Riordan,4,4.46,Disney-Hyperion Books,Hardcover,586.0,2012.0,2016-06-06,fiction-ya-standalone-and-others,read,2016.0
The Lost Hero,Rick Riordan,4,4.32,Disney-Hyperion Books,Hardcover,553.0,2010.0,2016-06-03,fiction-ya-standalone-and-others,read,2016.0
The Sea of Monsters,Rick Riordan,4,4.24,Hyperion Books,Hardcover,279.0,2006.0,2016-05-24,fiction-ya-standalone-and-others,read,2016.0
The Battle of the Labyrinth,Rick Riordan,4,4.41,Hyperion Books for Children,Hardcover,361.0,2008.0,2016-05-27,fiction-ya-standalone-and-others,read,2016.0
The Last Olympian,Rick Riordan,5,4.53,Disney-Hyperion Books,Hardcover,381.0,2009.0,2016-05-28,fiction-ya-standalone-and-others,read,2016.0
The Lightning Thief,Rick Riordan,4,4.29,Disney Hyperion Books,Paperback,377.0,2005.0,2016-05-23,fiction-ya-standalone-and-others,read,2016.0
Murder Is Easy,Agatha Christie,4,3.77,Minotaur Books,Paperback,288.0,1939.0,2019-08-26,fiction-ya-standalone-and-others,read,2019.0
The Mysterious Affair at Styles,Agatha Christie,4,4.0,Warbler Classics,Paperback,174.0,1920.0,2022-02-10,fiction-ya-standalone-and-others,read,2022.0
Little Grey Cells: The Quotable Poirot,Agatha Christie,5,3.99,HarperCollins,Kindle Edition,160.0,2015.0,2019-08-26,fiction-ya-standalone-and-others,read,2019.0
Endless Night,Agatha Christie,4,3.81,Harper,Paperback,303.0,1967.0,,fiction-ya-standalone-and-others,read,
Sparkling Cyanide,Agatha Christie,4,3.91,HarperCollins,Paperback,336.0,1944.0,,fiction-ya-standalone-and-others,read,
Death Comes as the End,Agatha Christie,4,3.85,Harper,Paperback,336.0,1944.0,,fiction-ya-standalone-and-others,read,
They Came to Baghdad,Agatha Christie,3,3.83,HarperCollins,Paperback,364.0,1951.0,2018-07-03,fiction-ya-standalone-and-others,read,2018.0
Ordeal by Innocence,Agatha Christie,3,3.83,Minotaur Books,Paperback,288.0,1958.0,2018-06-02,fiction-ya-standalone-and-others,read,2018.0
Why Didn't They Ask Evans?,Agatha Christie,4,3.9,Minotaur Books,Paperback,288.0,1934.0,2018-05-28,fiction-ya-standalone-and-others,read,2018.0
The Sittaford Mystery,Agatha Christie,3,3.75,HarperCollins Publishers Ltd.,Paperback,248.0,1931.0,2018-05-26,fiction-ya-standalone-and-others,read,2018.0
Towards Zero,Agatha Christie,4,3.93,HarperCollins,Paperback,301.0,1944.0,2018-05-23,fiction-ya-standalone-and-others,read,2018.0
The Mysterious Mr. Quin,Agatha Christie,3,3.73,Harper Collins,Paperback,396.0,1930.0,2019-08-25,fiction-ya-standalone-and-others,read,2019.0
The Secret of Chimneys,Agatha Christie,4,3.85,HarperCollins Publishers Ltd.,Paperback,400.0,1925.0,2018-05-15,fiction-ya-standalone-and-others,read,2018.0
The Seven Dials Mystery,Agatha Christie,3,3.8,Harper Collins,Paperback,375.0,1929.0,2018-05-17,fiction-ya-standalone-and-others,read,2018.0
Crooked House,Agatha Christie,4,4.08,Minotaur Books,Paperback,276.0,1949.0,2018-06-25,fiction-ya-standalone-and-others,read,2018.0
And Then There Were None,Agatha Christie,5,4.28,St. Martin's Press,Paperback,264.0,1939.0,2018-05-21,fiction-ya-standalone-and-others,read,2018.0
Murder at the Vicarage,Agatha Christie,4,4.06,Black Dog & Leventhal Publishers,Hardcover,288.0,1930.0,2019-08-26,fiction-ya-standalone-and-others,read,2019.0
The Man in the Brown Suit,Agatha Christie,4,3.95,HarperCollinspublishers,Paperback,381.0,1924.0,2018-05-11,fiction-ya-standalone-and-others,read,2018.0
And the Ocean Was Our Sky,Patrick Ness,2,3.61,Walker Books,Hardcover,160.0,2018.0,2020-01-04,fiction-ya-standalone-and-others,read,2020.0
American Gods,Neil Gaiman,3,4.11,William Morrow,Kindle Edition,635.0,2001.0,,fiction-ya-standalone-and-others,read,
All Systems Red,Martha Wells,3,4.16,Tor.com,ebook,144.0,2017.0,,sff,read,
Alice in Wonderland,Jane Carruth,3,4.03,Gramercy Books,Hardcover,92.0,1865.0,2017-05-04,fiction-ya-standalone-and-others,read,2017.0
The Alchemist,Paulo Coelho,3,3.9,HarperOne,Paperback,175.0,1988.0,2021-04-30,fiction-ya-standalone-and-others,read,2021.0
Albert Einstein,Frieda Wishinsky,1,4.08,DK Publishing (Dorling Kindersley),Paperback,128.0,2005.0,2019-08-26,fiction-ya-standalone-and-others,read,2019.0
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4,4.3,Wisehouse Classics,Kindle Edition,122.0,1892.0,2019-08-26,fiction-ya-standalone-and-others,read,2019.0
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4,4.3,Oxford University Press,Paperback,389.0,1892.0,2017-03-20,fiction-ya-standalone-and-others,read,2017.0
500 Classic Fairy Tales You Should Read,Aleksander Chodźko,5,4.28,Flip,Kindle Edition,4108.0,2017.0,2017-12-01,fiction-ya-standalone-and-others,read,2017.0
"30 Days of Night, Vol. 1",Steve Niles,4,3.79,IDW Publishing,Paperback,104.0,2004.0,2019-08-26,comics-and-graphic-novels,read,2019.0
"Manga love story, Band 7",Katsu Aki,5,3.47,Carlsen,Paperback,176.0,1999.0,,manga,read,
"Manga love story, Band 6",Katsu Aki,5,3.52,Carlsen,Paperback,178.0,1999.0,2018-07-05,manga,read,2018.0
"Manga love story, Band 4",Katsu Aki,5,3.55,Carlsen Comics,Paperback,172.0,1998.0,2018-07-05,manga,read,2018.0
"Manga love story, Band 1",Katsu Aki,5,3.44,Carlsen,Paperback,180.0,1997.0,2018-06-27,manga,read,2018.0
2,Katsu Aki,5,3.53,Hakusen Sha,Comic,168.0,1997.0,2018-06-27,manga,read,2018.0
"Manga love story, Band 3",Katsu Aki,5,3.52,Carlsen Comics,Paperback,172.0,1998.0,2018-06-27,manga,read,2018.0
"Manga love story, Band 5",Katsu Aki,5,3.41,Carlsen,Paperback,174.0,1998.0,2018-07-05,manga,read,2018.0
東京喰種トーキョーグール 4 [Tokyo Guru 4],Sui Ishida,4,4.38,集英社,Paperback,192.0,2012.0,,manga,read,
東京喰種トーキョーグール 2,Sui Ishida,4,4.44,集英社,Paperback,208.0,2012.0,2021-05-28,manga,read,2021.0
東京喰種トーキョーグール 5 [Tokyo Guru 5],Sui Ishida,4,4.36,集英社,Paperback,200.0,2012.0,,manga,read,
東京喰種トーキョーグール 3,Sui Ishida,3,4.4,集英社,Paperback,192.0,2012.0,,manga,read,
"Tokyo Ghoul, Tome 1",Sui Ishida,4,4.42,Glénat,Mass Market Paperback,224.0,2012.0,,manga,read,
"Berserk, Vol. 20",Kentaro Miura,4,4.64,Dark Horse Manga,Paperback,229.0,2000.0,2021-09-04,manga,read,2021.0
"Berserk, Vol. 8",Kentaro Miura,5,4.69,Dark Horse Manga,Paperback,230.0,1994.0,2021-07-04,manga,read,2021.0
"Berserk, Vol. 1",Kentaro Miura,5,4.48,Dark Horse Manga,Paperback,224.0,1990.0,,manga,read,
"Berserk, Vol. 21",Kentaro Miura,0,4.66,Dark Horse Manga,Paperback,240.0,2001.0,2021-09-04,manga,read,2021.0
"Berserk, Vol. 22",Kentaro Miura,5,4.67,Dark Horse Manga,Paperback,224.0,2001.0,2021-09-04,manga,read,2021.0
"Berserk, Vol. 23",Kentaro Miura,5,4.61,Dark Horse Manga,Paperback,208.0,2002.0,2021-09-04,manga,read,2021.0
"Berserk, Vol. 19",Kentaro Miura,5,4.63,Dark Horse Manga,Paperback,228.0,2000.0,2021-08-27,manga,read,2021.0
"Berserk, Vol. 14",Kentaro Miura,4,4.58,Dark Horse Manga,Paperback,230.0,1997.0,2021-07-23,manga,read,2021.0
"Berserk, Vol. 15",Kentaro Miura,4,4.54,Dark Horse Manga,Paperback,240.0,1998.0,2021-08-17,manga,read,2021.0
"Berserk, Vol. 16",Kentaro Miura,5,4.58,Dark Horse Books,Paperback,234.0,1998.0,2021-08-17,manga,read,2021.0
"Berserk, Vol. 17",Kentaro Miura,5,4.61,Dark Horse Manga,Paperback,240.0,1999.0,2021-08-24,manga,read,2021.0
"Berserk, Vol. 18",Kentaro Miura,5,4.6,Dark Horse Manga,Paperback,235.0,1999.0,2021-08-27,manga,read,2021.0
"Berserk, Vol. 11",Kentaro Miura,5,4.62,Dark Horse Manga,Paperback,234.0,1996.0,2021-07-18,manga,read,2021.0
"Berserk, Vol. 12",Kentaro Miura,5,4.74,Dark Horse Manga,Paperback,229.0,1996.0,2021-07-18,manga,read,2021.0
"Berserk, Vol. 13",Kentaro Miura,5,4.72,Dark Horse Manga,Paperback,240.0,1997.0,2021-07-19,manga,read,2021.0
"Berserk, Vol. 7",Kentaro Miura,5,4.63,Dark Horse Manga,Paperback,231.0,1994.0,2021-06-28,manga,read,2021.0
"Berserk, Vol. 9",Kentaro Miura,5,4.68,Dark Horse Manga,Paperback,234.0,1995.0,2021-07-12,manga,read,2021.0
"Berserk, Vol. 10",Kentaro Miura,5,4.7,Dark Horse Manga,Paperback,237.0,1995.0,2021-07-18,manga,read,2021.0
"Berserk, Vol. 4",Kentaro Miura,5,4.6,Dark Horse Manga,Paperback,236.0,1992.0,2021-06-24,manga,read,2021.0
"Berserk, Vol. 5",Kentaro Miura,5,4.62,Dark Horse Manga,Paperback,236.0,1993.0,2021-06-24,manga,read,2021.0
"Berserk, Vol. 6",Kentaro Miura,5,4.63,Dark Horse Manga,Paperback,223.0,1993.0,2021-06-25,manga,read,2021.0
"Berserk, Vol. 2",Kentaro Miura,5,4.44,Dark Horse Manga,Paperback,234.0,1991.0,2021-06-23,manga,read,2021.0
"Berserk, Vol. 3",Kentaro Miura,5,4.56,Dark Horse Comics LLC,Paperback,234.0,1991.0,2021-06-24,manga,read,2021.0
"One Piece, Volume 28: Wyper the Berserker",Eiichiro Oda,4,4.37,VIZ Media LLC,Paperback,200.0,2003.0,2021-02-07,manga,read,2021.0
BLAME! MASTER EDITION 6,Tsutomu Nihei,4,4.17,Vertical Comics,Paperback,330.0,2015.0,2020-07-10,manga,read,2020.0
BLAME! MASTER EDITION 3,Tsutomu Nihei,5,4.29,Vertical Comics,Paperback,354.0,2015.0,2020-07-08,manga,read,2020.0
BLAME! MASTER EDITION 4,Tsutomu Nihei,5,4.24,Vertical Comics,Paperback,370.0,,,manga,read,
BLAME! MASTER EDITION 2,Tsutomu Nihei,4,4.37,Vertical Comics,Paperback,382.0,2015.0,2020-07-07,manga,read,2020.0
BLAME! MASTER EDITION 1,Tsutomu Nihei,5,4.21,Vertical Comics,Paperback,408.0,2015.0,2020-07-06,manga,read,2020.0
Shiver: Junji Ito Selected Stories,Junji Ito,4,4.35,VIZ Media: VIZ Signature,Kindle Edition,392.0,2015.0,2020-06-21,manga,read,2020.0
Fragments of Horror,Junji Ito,4,4.1,VIZ Media LLC,Hardcover,224.0,2014.0,,manga,read,
Tomie,Junji Ito,4,4.12,VIZ Media,Hardcover,750.0,1987.0,2020-05-15,manga,read,2020.0
Smashed: Junji Ito Story Collection,Junji Ito,5,4.13,VIZ Media LLC,Hardcover,416.0,,,manga,read,
Gyo,Junji Ito,4,3.87,VIZ Media LLC,Hardcover,398.0,2002.0,2020-05-15,manga,read,2020.0
うずまき [Uzumaki],Junji Ito,5,4.44,小学館,,632.0,2000.0,2020-05-14,manga,read,2020.0
Bleach―ブリーチ― 33 [Burīchi 33],Tite Kubo,5,4.22,Shueisha,Paperback,192.0,2008.0,2018-07-05,manga,read,2018.0
Bleach―ブリーチ― 34 [Burīchi 34],Tite Kubo,5,4.29,Shueisha,Paperback,216.0,2008.0,2018-07-05,manga,read,2018.0
Bleach―ブリーチ― 35 [Burīchi 35],Tite Kubo,5,4.24,Shueisha,Paperback,208.0,2008.0,2018-07-05,manga,read,2018.0
Bleach―ブリーチ― 36 [Burīchi 36],Tite Kubo,5,4.36,Shueisha,Paperback,200.0,2008.0,2018-07-05,manga,read,2018.0
Bleach―ブリーチ― 32 [Burīchi 32],Tite Kubo,5,4.32,Shueisha,Paperback,192.0,2008.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 29",Tite Kubo,4,4.2,VIZ Media LLC,Paperback,208.0,2007.0,2018-07-05,manga,read,2018.0
"Bleach, Tome 30: There is No Heart Without You",Tite Kubo,5,4.28,Glénat,Paperback,192.0,,2018-07-05,manga,read,2018.0
Bleach 31: Bring mich nicht um mein Vergnügen,Tite Kubo,5,4.21,Tokyopop,Paperback,208.0,2007.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 28",Tite Kubo,4,4.22,VIZ Media LLC,Paperback,200.0,2007.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 23",Tite Kubo,5,4.32,VIZ Media LLC,Paperback,208.0,2006.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 24",Tite Kubo,5,4.33,VIZ Media LLC,Paperback,208.0,2006.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 25",Tite Kubo,5,4.33,VIZ Media LLC,Paperback,200.0,2006.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 26",Tite Kubo,5,4.29,VIZ Media LLC,Paperback,216.0,2007.0,2018-07-05,manga,read,2018.0
Bleach―ブリーチ― 27 [Burīchi 27],Tite Kubo,5,4.28,Shūeisha,Paperback,192.0,2007.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 18",Tite Kubo,5,4.34,VIZ Media LLC,Paperback,216.0,2005.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 19",Tite Kubo,5,4.38,VIZ Media LLC,Paperback,216.0,2005.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 21",Tite Kubo,5,4.3,VIZ Media LLC,Paperback,200.0,2006.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 22",Tite Kubo,5,4.34,VIZ Media LLC,Paperback,216.0,2006.0,2018-07-05,manga,read,2018.0
"Bleach, Volume 20",Tite Kubo,5,4.38,VIZ Media LLC,Paperback,232.0,2005.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 17",Tite Kubo,5,4.36,VIZ Media LLC,Paperback,224.0,2005.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 10",Tite Kubo,5,4.29,VIZ Media LLC,Paperback,200.0,2003.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 15",Tite Kubo,5,4.43,VIZ Media LLC,Paperback,192.0,2001.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 16",Tite Kubo,5,4.35,VIZ Media LLC,Paperback,200.0,2005.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 12",Tite Kubo,4,4.38,VIZ Media LLC,Paperback,208.0,2004.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 14",Tite Kubo,4,4.39,VIZ Media LLC,Paperback,208.0,2004.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 08",Tite Kubo,5,4.35,VIZ Media LLC,Paperback,200.0,2003.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 07",Tite Kubo,5,4.36,VIZ Media LLC,Paperback,200.0,2003.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 13",Tite Kubo,5,4.37,VIZ Media LLC,Paperback,192.0,2004.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 11",Tite Kubo,4,4.36,VIZ Media LLC,Paperback,208.0,2003.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 06",Tite Kubo,5,4.37,VIZ Media LLC,Paperback,200.0,2002.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 09",Tite Kubo,4,4.28,VIZ Media LLC,Paperback,200.0,2003.0,2018-06-27,manga,read,2018.0
"Bleach, Volume 04",Tite Kubo,5,4.28,VIZ Media LLC,Paperback,192.0,2002.0,2018-06-13,manga,read,2018.0
"Bleach, Volume 02",Tite Kubo,4,4.3,VIZ Media LLC,Paperback,192.0,2002.0,2018-06-12,manga,read,2018.0
"Bleach, Vol. 1",Tite Kubo,4,4.25,VIZ Media LLC,Paperback,192.0,2002.0,,manga,read,
"Bleach, Volume 05",Tite Kubo,4,4.3,VIZ Media LLC,Paperback,192.0,2002.0,2018-06-15,manga,read,2018.0
"Bleach, Volume 03",Tite Kubo,4,4.33,VIZ Media LLC,Paperback,192.0,2002.0,2018-06-13,manga,read,2018.0
鬼滅の刃 23 [Kimetsu no Yaiba 23],Koyoharu Gotouge,4,4.68,集英社 [Shūeisha],Paperback,232.0,2020.0,2021-05-07,manga,read,2021.0
鬼滅の刃 22,Koyoharu Gotouge,5,4.68,集英社 / Shūeisha,Paperback,192.0,2020.0,2021-05-07,manga,read,2021.0
鬼滅の刃 18,Koyoharu Gotouge,5,4.69,集英社 / Shūeisha,Paperback,192.0,2019.0,2021-05-07,manga,read,2021.0
鬼滅の刃 17,Koyoharu Gotouge,5,4.64,集英社 / Shūeisha,Paperback,192.0,2019.0,2021-05-07,manga,read,2021.0
鬼滅の刃 20,Koyoharu Gotouge,5,4.67,集英社 / Shūeisha,Paperback,192.0,2020.0,2021-05-07,manga,read,2021.0
鬼滅の刃 19,Koyoharu Gotouge,4,4.66,集英社 / Shūeisha,Paperback,192.0,2020.0,2021-05-07,manga,read,2021.0
鬼滅の刃 21,Koyoharu Gotouge,5,4.67,集英社 / Shūeisha,Paperback,192.0,2020.0,2021-05-07,manga,read,2021.0
鬼滅の刃 13 [Kimetsu no Yaiba 13],Koyoharu Gotouge,5,4.54,集英社,Kindle Edition,199.0,2018.0,2021-05-07,manga,read,2021.0
鬼滅の刃 14 [Kimetsu no Yaiba 14],Koyoharu Gotouge,5,4.56,集英社,Kindle Edition,199.0,2016.0,2021-05-07,manga,read,2021.0
鬼滅の刃 15 [Kimetsu no Yaiba 15],Koyoharu Gotouge,5,4.59,集英社,Kindle Edition,199.0,2019.0,2021-05-07,manga,read,2021.0
鬼滅の刃 16,Koyoharu Gotouge,5,4.65,集英社 / Shūeisha,Paperback,192.0,2019.0,2021-05-07,manga,read,2021.0
鬼滅の刃 12 [Kimetsu no Yaiba 12],Koyoharu Gotouge,4,4.48,集英社,Kindle Edition,199.0,2018.0,2021-05-07,manga,read,2021.0
鬼滅の刃 10 [Kimetsu no Yaiba 10],Koyoharu Gotouge,5,4.62,集英社,Paperback,200.0,2018.0,2021-05-07,manga,read,2021.0
鬼滅の刃 7 [Kimetsu no Yaiba 7],Koyoharu Gotouge,5,4.59,Shueisha,Kindle Edition,215.0,2017.0,2021-05-07,manga,read,2021.0
鬼滅の刃 11 [Kimetsu no Yaiba 11],Koyoharu Gotouge,5,4.63,集英社,Paperback,192.0,2018.0,2021-05-07,manga,read,2021.0
鬼滅の刃 8 [Kimetsu no Yaiba 8],Koyoharu Gotouge,5,4.68,集英社,Kindle Edition,199.0,2017.0,2021-05-07,manga,read,2021.0
鬼滅の刃 9 [Kimetsu no Yaiba 9],Koyoharu Gotouge,5,4.56,集英社,Kindle Edition,199.0,2017.0,2021-05-07,manga,read,2021.0
鬼滅の刃 6 [Kimetsu no Yaiba 6],Koyoharu Gotouge,5,4.54,集英社,Kindle Edition,205.0,2017.0,2021-05-07,manga,read,2021.0
鬼滅の刃 2 [Kimetsu no Yaiba 2],Koyoharu Gotouge,5,4.47,集英社 [Shūeisha],Kindle Edition,192.0,2016.0,2021-05-05,manga,read,2021.0
鬼滅の刃 3 [Kimetsu no Yaiba 3],Koyoharu Gotouge,4,4.48,集英社,Kindle Edition,199.0,2016.0,2021-05-05,manga,read,2021.0
鬼滅の刃 5 [Kimetsu no Yaiba 5],Koyoharu Gotouge,5,4.58,集英社,Kindle Edition,197.0,2017.0,2021-05-07,manga,read,2021.0
鬼滅の刃 4,Koyoharu Gotouge,4,4.53,集英社 / Shūeisha,Paperback,192.0,2016.0,2021-05-07,manga,read,2021.0
鬼滅の刃 1 [Kimetsu no Yaiba 1],Koyoharu Gotouge,5,4.53,集英社 [Shūeisha],Kindle Edition,192.0,2016.0,2021-05-05,manga,read,2021.0
ONE PIECE 97,Eiichiro Oda,4,4.67,集英社 / Shūeisha,Paperback,200.0,2020.0,2021-10-11,manga,read,2021.0
ONE PIECE 98,Eiichiro Oda,3,4.66,集英社 / Shūeisha,Paperback,200.0,2021.0,2021-10-11,manga,read,2021.0
ONE PIECE 96,Eiichiro Oda,4,4.72,集英社 / Shūeisha,Paperback,200.0,2020.0,2021-10-11,manga,read,2021.0
ONE PIECE 99,Eiichiro Oda,5,4.7,集英社 / Shūeisha,Paperback,200.0,2021.0,2021-10-11,manga,read,2021.0
ONE PIECE 100,Eiichiro Oda,5,4.76,集英社 / Shūeisha,Paperback,224.0,2021.0,2021-10-11,manga,read,2021.0
"One Piece, Volume 91: Adventure in the Land of Samurai",Eiichiro Oda,4,4.57,VIZ Media LLC,Paperback,200.0,2018.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 94: A Soldier's Dream",Eiichiro Oda,4,4.61,VIZ Media LLC,Paperback,216.0,2019.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 92: Introducing Komurasaki the Oiran",Eiichiro Oda,4,4.55,VIZ Media: SHONEN JUMP,Kindle Edition,184.0,2019.0,2021-03-10,manga,read,2021.0
ONE PIECE 95,Eiichiro Oda,4,4.66,集英社 / Shūeisha,Paperback,208.0,2019.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 93: The Star of Ebisu",Eiichiro Oda,4,4.57,VIZ Media LLC,Paperback,200.0,2019.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 86: Emperor Assassination Plan",Eiichiro Oda,4,4.56,VIZ Media LLC,Paperback,208.0,2017.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 89: Bad End Musical",Eiichiro Oda,4,4.62,VIZ Media LLC,Paperback,216.0,2018.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 87: Bittersweet",Eiichiro Oda,4,4.52,VIZ Media LLC,Paperback,208.0,2017.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 85: Liar",Eiichiro Oda,3,4.58,VIZ Media LLC,Paperback,192.0,2017.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 90: Sacred Marijoa",Eiichiro Oda,4,4.62,VIZ Media LLC,Paperback,200.0,2018.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 88: Lion",Eiichiro Oda,4,4.53,VIZ Media LLC,Paperback,192.0,2018.0,2021-03-10,manga,read,2021.0
"One Piece, Volume 82: The World Is Restless",Eiichiro Oda,5,4.49,VIZ Media LLC,Paperback,216.0,2016.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 78: Champion of Evil",Eiichiro Oda,4,4.59,VIZ Media LLC,Paperback,216.0,2015.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 83: Emperor of the Sea, Charlotte Linlin",Eiichiro Oda,5,4.48,VIZ Media LLC,Paperback,208.0,2016.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 84: Luffy vs. Sanji",Eiichiro Oda,5,4.61,VIZ Media LLC,Paperback,192.0,2017.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 81: Let's Go See the Cat Viper",Eiichiro Oda,5,4.48,VIZ Media LLC,Paperback,200.0,2016.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 80: Opening Speech",Eiichiro Oda,5,4.52,VIZ Media LLC,Paperback,208.0,2015.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 75: Repaying the Debt",Eiichiro Oda,5,4.57,VIZ Media LLC,Paperback,208.0,2014.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 76: Just Keep Going",Eiichiro Oda,4,4.58,VIZ Media LLC,Paperback,216.0,2014.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 77: Smile",Eiichiro Oda,5,4.57,VIZ Media LLC,Paperback,232.0,2015.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 79: Lucy!!",Eiichiro Oda,5,4.61,VIZ Media LLC,Paperback,200.0,2015.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 72: Dressrosa's Forgotten",Eiichiro Oda,4,4.5,VIZ Media LLC,Paperback,208.0,2013.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 71: Coliseum of Scoundrels",Eiichiro Oda,4,4.48,VIZ Media LLC,Paperback,200.0,2013.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 73: Operation Dressrosa S.O.P.",Eiichiro Oda,5,4.54,VIZ Media LLC,Paperback,208.0,2014.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 74: Ever at Your Side",Eiichiro Oda,5,4.53,VIZ Media LLC,Paperback,232.0,2014.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 70: Enter Doflamingo",Eiichiro Oda,4,4.51,VIZ Media LLC,Paperback,208.0,2013.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 66: The Road Toward the Sun",Eiichiro Oda,5,4.44,VIZ Media LLC,Paperback,216.0,2012.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 68: Pirate Alliance",Eiichiro Oda,3,4.46,VIZ Media LLC,Paperback,192.0,2012.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 67: Cool Fight",Eiichiro Oda,4,4.44,VIZ Media LLC,Paperback,219.0,2012.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 69: S.A.D.",Eiichiro Oda,3,4.48,VIZ Media LLC,Paperback,200.0,2013.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 65: To Nothing",Eiichiro Oda,4,4.43,VIZ Media LLC,Paperback,208.0,2012.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 62: Adventure on Fish-Man Island",Eiichiro Oda,4,4.39,VIZ Media LLC,Paperback,216.0,2011.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 60: My Little Brother",Eiichiro Oda,5,4.62,VIZ Media LLC,Paperback,208.0,2010.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 63: Otohime and Tiger",Eiichiro Oda,4,4.41,VIZ Media LLC,Paperback,232.0,2011.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 61: Romance Dawn for the New World",Eiichiro Oda,4,4.58,VIZ Media LLC,Paperback,208.0,2011.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 64: 100,000 vs. 10",Eiichiro Oda,4,4.45,VIZ Media LLC,Paperback,208.0,2011.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 57: Paramount War",Eiichiro Oda,4,4.68,VIZ Media LLC,Paperback,208.0,2010.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 58: The Name of This Era is ""Whitebeard""",Eiichiro Oda,5,4.7,VIZ Media LLC,Paperback,208.0,2010.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 55: A Ray of Hope",Eiichiro Oda,4,4.59,VIZ Media LLC,Paperback,200.0,2009.0,2021-02-07,manga,read,2021.0
